Título|Semilla|URL_adicionales|Estado|Tipo de recolección|Frecuencia |Profundidad|Tamaño|Palabras_clave|Materia
Amigos de la Tana / Sebastián Damunt|http://amigosdelatana.blogspot.com||Inactiva|Selectiva|Unica|Ruta|Mediano|Cocina / Restaurantes / Blogs|641/642 Cocina
daviddejorge.com - Blogs - Robin Food|http://blog.daviddejorge.com||Inactiva|Selectiva|Semanal|Inicio y 1 nivel|Pequeno|David de Jorge / Robin Food / Recetas|641/642 Cocina
David de Jorge Ezeizabarrena - Atracón a mano armada|http://blog.daviddejorge.com||Inactiva|Selectiva|Mensual|Inicio y 2 niveles|Mediano|Blogs / Cocineros / Jorge, David de (1970-)|641/642 Cocina
Charla de sobremesa / Sebastián Damunt|http://charladesobremesa.blogspot.com||Inactiva|Selectiva|Unica|Ruta|Mediano|Cocina / Historia / Libros de cocina / Recetas / Cocineros / Bibliografías / Blogs|641/642 Cocina
Menu degustación: 219 ideas encontradas en Cocina|http://cocina.facilisimo.com/menu-degustacion||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Vinos / Recetas / Menú / Fiestas / Aperitivos / Gastronomía / Licores|641/642 Cocina
Cocina de Emergencia|http://cocinadeemergencia.blogspot.com||Activa|Selectiva|Mensual|Inicio y 1 nivel|Pequeno|Cocina / Recetas / Blogs|641/642 Cocina
Canal cómo se hace|http://comosehace22.blogspot.com||Activa|Selectiva|Mensual|Inicio y 1 nivel|Pequeno|Cocina / Recetas / Productos ecológicos / Medicina natural / Blogs|641/642 Cocina
Centro Tecnológico de la Industria Cárnica (CTIC) y el Centro de Innovación y Tecnología Alimentaria (CITA)|http://ctic-cita.es|http://ctic-cita.es/nc/conecta/noticias/ - http://ctic-cita.es/nc/saladeprensa2/sala-de-prensa/articulos/|Activa|Selectiva|Mensual|Inicio y 2 niveles|Pequeno|Agricultura / Investigación / Industria alimentaria / Alimentos / Abastecimiento / Industria cárnica / La Rioja (Comunidad Autónoma)|641/642 Cocina
Diario de Gastronomía: Cocina, vino, gastronomía y recetas gourmet|http://diariodegastronomia.com||Activa|Selectiva|Semanal|Inicio y 1 nivel|Pequeno|Medios de comunicación social / Gastronomía|641/642 Cocina
El castañero|http://elcastanero.com||Inactiva|Selectiva|Unica|Host|Pequeno|Alimentación / Castañas / Industria alimentaria|641/642 Cocina
El cocinero fiel|http://elcocinerofiel.com||Activa|Selectiva|Mensual|Inicio y 2 niveles|Mediano|Blogs / España / Cocina / Recetas|641/642 Cocina
España gastronomía|http://espana.gastronomia.com||Inactiva|Selectiva|Semanal|Inicio y 1 nivel|Pequeno|Recetas / Chefs / Restaurantes / Productos|641/642 Cocina
Fresas con chocolate / Maribel Garcia Acosta|http://fresasconchocolatee.blogspot.com||Activa|Selectiva|Mensual|Inicio y 1 nivel|Pequeno|Postres / Cocina / Recetas / Blogs|641/642 Cocina
Frutos del mar / Sebastián Damunt|http://frutosdelmar.blogspot.com||Inactiva|Selectiva|Unica|Ruta|Mediano|Cocina / Recetas / Alimentos / Libros de cocina / Blogs|641/642 Cocina
Innomy - Innovation & Mycology|http://innomylabs.com/#!/-inicio/||Inactiva|Selectiva|Unica|Host|Pequeno|Alimentación / Industria alimentaria / Hongos / Veganismo|641/642 Cocina
Sociedad Gastronómica La Becada (Logroño)|http://labecada.com||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Sociedades Gastronómicas / Asociaciones / Gastronomía|641/642 Cocina
Libros de cocina y gastronomía / Sebastián Damunt|http://librosdecocinaygastronomia.blogspot.com||Inactiva|Selectiva|Unica|Ruta|Mediano|Cocina / Recetas / Libros de cocina / Bibliografías / Blogs|641/642 Cocina
Todos con La Pepita|http://pepitaforever.blogspot.com||Inactiva|Selectiva|Unica|Ruta|Mediano|Hostelería / Blogs / Madrid|641/642 Cocina
Mercado Municipal de Productores Planetario.|http://productoresplanetario.es||Inactiva|Selectiva|Unica|Ruta|Pequeno|Gastronomía / Mercadillos / Alimentos / Abastecimiento / Productos ecológicos / Madrid|641/642 Cocina
Restaurante Bardal|http://restaurantebardal.com/home/|http://restaurantebardal.com/prensa/|Activa|Selectiva|Semestral|Inicio y 2 niveles|Pequeno|Restaurantes / Cocineros / Gómez, Benito / Cartas de restaurantes / Ronda / Premios|641/642 Cocina
Ultramarinos La Confianza|http://ultramarinoslaconfianza.com||Inactiva|Selectiva|Unica|Inicio y 1 nivel|Pequeno|Gastronomía / Tiendas de alimentación / Huesca|641/642 Cocina
Alberto Chicote|http://www.albertochicote.com||Inactiva|Selectiva|Semestral|Inicio y 2 niveles|Pequeno|Cocina / Recetas / Cocineros / Chicote, Alberto (1969-)|641/642 Cocina
Restaurante Arzak|http://www.arzak.es||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Arzak, Juan Maria 1942- / Restaurantes / Cocineros|641/642 Cocina
Programas de XV Feria de la Golmajería y XII Jornadas de la Cazuelilla de Calahorra (La Rioja)|http://www.calahorra.es/portal/RecursosWeb/DOCUMENTOS/1/0_13142_1.pdf||Inactiva|Selectiva|Unica|Inicio y 1 nivel|Pequeno|Gastronomía / Ferias / Pastelería / Dulces / Tapas / Calahorra / La Rioja (Comunidad Autónoma)|641/642 Cocina
Cenador de Amós|http://www.cenadordeamos.com||Inactiva|Selectiva|Unica|Ruta|Mediano|Restaurantes / Premios / Cocineros / Cantabria / Sánchez, Jesús 1964-|641/642 Cocina
Cocina Económica de La Coruña|http://www.cocinaeconomica.org|http://www.cocinaeconomica.org/blog.asp|Activa|Selectiva|Mensual|Inicio y 2 niveles|Pequeno|Gastronomía / Organizaciones no gubernamentales / Cocina / Blogs / La Coruña|641/642 Cocina
Cocina para 2 / Belén Otero|http://www.cocinarpara2.com||Inactiva|Selectiva|Unica|Host|Grande|Cocina / Gastronomía / Recetas|641/642 Cocina
Complicidad Gastronómica|http://www.complicidadgastronomica.es||Activa|Selectiva|Mensual|Inicio y 2 niveles|Pequeno|Gastronomía / España / Blogs|641/642 Cocina
Cropckpotting|http://www.crockpotting.es/indice/||Inactiva|Selectiva|Unica|Inicio y 1 nivel|Pequeno|Cocina / Recetas / Material y equipo / Utensilios de cocina|641/642 Cocina
David de Jorge Ezeizabarrena|http://www.daviddejorge.com/es/inicio||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Restaurantes / Chefs / Jorge, David de (1970-)|641/642 Cocina
De las cosas del comer / Pepe Ribagorda|http://www.delascosasdelcomer.com||Activa|Selectiva|Semestral|Inicio y 2 niveles|Pequeno|Gastronomía / España / Cocina española / Recetas / Blogs / Ribagorda, José (1961-)|641/642 Cocina
Demos la vuelata al día|http://www.demoslavueltaaldia.com||Inactiva|Selectiva|Unica|Host|Grande|Cocina / Recetas / Noticias|641/642 Cocina
El Ágora de Ángeles|http://www.elagoradeangeles.com||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Cocina / Recetas / Blogs|641/642 Cocina
El monstruo de las galletas|http://www.elmonstruodelasgalletas.com||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Libros de cocina / Ingredientes / Alimentos / Trucos de cocina / Turismo gastronómico / Recetas|641/642 Cocina
Falsarius chef: Cocina para impostores|http://www.falsariuschef.com||Inactiva|Selectiva|Unica|Inicio y 2 niveles|Pequeno|Gastronomía / Cocina / Envases metálicos / Sardinas / Jamones|641/642 Cocina
